Annee,Tour,Code Departement,Libelle Departement,Circonscription,Inscrits,Votants,Exprimes,Blancs et nuls,Voix_x,Nuance,Positionnement,Pauvreté,carbone,Production brute d’électricité primaire (GWH),Production brute d’électricité primaire renouvelable (GWH),Production brute d’électricité nucléaire (GWH),Prix gaz fr,Prix electricite fr,Taux inflation,Smic,Revenu salarial annuel moyen,CPSO,Femmes,Hommes,Popu,Taux chomage,Age Median FR,Age Moyen Fr,Entreprises,Evolution Emploi total,Evolution Emploi salarié privé,Evolution Emploi salarié public,Evolution Emploi non salarié,Crimes pn,Crimes gendarmes,President,Voix_y,Is_President
1973,1,1,AIN,3,63658,49697,48657,1040.0,0,UDRURP,Centre droit,,,62882.0,48131.0,14751.0,,,,,,,,,,,,,,,,,,,,,,False
1973,1,1,AIN,3,63658,49697,48657,1040.0,0,CDPURP,Centre droit,,,62882.0,48131.0,14751.0,,,,,,,,,,,,,,,,,,,,,,False
1973,1,1,AIN,3,63658,49697,48657,1040.0,0,DIVURP,Non classes,,,62882.0,48131.0,14751.0,,,,,,,,,,,,,,,,,,,,,,False
1973,1,1,AIN,3,63658,49697,48657,1040.0,0,UDR,Droite,,,62882.0,48131.0,14751.0,,,,,,,,,,,,,,,,,,,,,,False
1973,1,1,AIN,3,63658,49697,48657,1040.0,0,RI,Centre,,,62882.0,48131.0,14751.0,,,,,,,,,,,,,,,,,,,,,,False
1973,1,1,AIN,3,63658,49697,48657,1040.0,0,DIVGAULL,Non classes,,,62882.0,48131.0,14751.0,,,,,,,,,,,,,,,,,,,,,,False
1973,1,1,AIN,3,63658,49697,48657,1040.0,0,EXD,Extreme droite,,,62882.0,48131.0,14751.0,,,,,,,,,,,,,,,,,,,,,,False
1973,1,1,AIN,3,63658,49697,48657,1040.0,1797,CDP,Non classes,,,62882.0,48131.0,14751.0,,,,,,,,,,,,,,,,,,,,,,False
1973,1,1,AIN,3,63658,49697,48657,1040.0,1843,PSU,Extreme gauche,,,62882.0,48131.0,14751.0,,,,,,,,,,,,,,,,,,,,,,False
1973,1,1,AIN,3,63658,49697,48657,1040.0,4454,DVD,Droite,,,62882.0,48131.0,14751.0,,,,,,,,,,,,,,,,,,,,,,False
1973,1,1,AIN,3,63658,49697,48657,1040.0,5045,DIVREF,Non classes,,,62882.0,48131.0,14751.0,,,,,,,,,,,,,,,,,,,,,,False
1973,1,1,AIN,3,63658,49697,48657,1040.0,7093,COM,Gauche,,,62882.0,48131.0,14751.0,,,,,,,,,,,,,,,,,,,,,,False
1973,1,1,AIN,3,63658,49697,48657,1040.0,10634,MRG,Gauche,,,62882.0,48131.0,14751.0,,,,,,,,,,,,,,,,,,,,,,False
1973,1,1,AIN,3,63658,49697,48657,1040.0,17791,RIURP,Centre droit,,,62882.0,48131.0,14751.0,,,,,,,,,,,,,,,,,,,,,,False
1973,1,10,AUBE,1,45502,37441,36586,855.0,0,PSU,Extreme gauche,,,62882.0,48131.0,14751.0,,,,,,,,,,,,,,,,,,,,,,False
1973,1,10,AUBE,1,45502,37441,36586,855.0,0,LCR,Centre gauche,,,62882.0,48131.0,14751.0,,,,,,,,,,,,,,,,,,,,,,False
1973,1,10,AUBE,1,45502,37441,36586,855.0,0,OCI,Centre droit,,,62882.0,48131.0,14751.0,,,,,,,,,,,,,,,,,,,,,,False
1973,1,10,AUBE,1,45502,37441,36586,855.0,0,MRG,Gauche,,,62882.0,48131.0,14751.0,,,,,,,,,,,,,,,,,,,,,,False
1973,1,10,AUBE,1,45502,37441,36586,855.0,0,DVG,Gauche,,,62882.0,48131.0,14751.0,,,,,,,,,,,,,,,,,,,,,,False
1973,1,10,AUBE,1,45502,37441,36586,855.0,0,DIVREF,Non classes,,,62882.0,48131.0,14751.0,,,,,,,,,,,,,,,,,,,,,,False
1973,1,10,AUBE,1,45502,37441,36586,855.0,0,RIURP,Centre droit,,,62882.0,48131.0,14751.0,,,,,,,,,,,,,,,,,,,,,,False
1973,1,10,AUBE,1,45502,37441,36586,855.0,0,CDPURP,Centre droit,,,62882.0,48131.0,14751.0,,,,,,,,,,,,,,,,,,,,,,False
1973,1,10,AUBE,1,45502,37441,36586,855.0,0,DIVURP,Non classes,,,62882.0,48131.0,14751.0,,,,,,,,,,,,,,,,,,,,,,False
1973,1,10,AUBE,1,45502,37441,36586,855.0,0,UDR,Droite,,,62882.0,48131.0,14751.0,,,,,,,,,,,,,,,,,,,,,,False
1973,1,10,AUBE,1,45502,37441,36586,855.0,0,RI,Centre,,,62882.0,48131.0,14751.0,,,,,,,,,,,,,,,,,,,,,,False
1973,1,10,AUBE,1,45502,37441,36586,855.0,0,CDP,Non classes,,,62882.0,48131.0,14751.0,,,,,,,,,,,,,,,,,,,,,,False
1973,1,10,AUBE,1,45502,37441,36586,855.0,0,DIVGAULL,Non classes,,,62882.0,48131.0,14751.0,,,,,,,,,,,,,,,,,,,,,,False
1973,1,10,AUBE,1,45502,37441,36586,855.0,0,EXD,Extreme droite,,,62882.0,48131.0,14751.0,,,,,,,,,,,,,,,,,,,,,,False
1973,1,10,AUBE,1,45502,37441,36586,855.0,923,LO,Centre droit,,,62882.0,48131.0,14751.0,,,,,,,,,,,,,,,,,,,,,,False
1973,1,10,AUBE,1,45502,37441,36586,855.0,1207,REFRAD,Centre droit,,,62882.0,48131.0,14751.0,,,,,,,,,,,,,,,,,,,,,,False
1973,1,10,AUBE,1,45502,37441,36586,855.0,6739,COM,Gauche,,,62882.0,48131.0,14751.0,,,,,,,,,,,,,,,,,,,,,,False
1973,1,10,AUBE,1,45502,37441,36586,855.0,8501,SOC,Gauche,,,62882.0,48131.0,14751.0,,,,,,,,,,,,,,,,,,,,,,False
1973,1,10,AUBE,1,45502,37441,36586,855.0,9118,DVD,Droite,,,62882.0,48131.0,14751.0,,,,,,,,,,,,,,,,,,,,,,False
1973,1,10,AUBE,1,45502,37441,36586,855.0,10098,UDRURP,Centre droit,,,62882.0,48131.0,14751.0,,,,,,,,,,,,,,,,,,,,,,False
1973,1,10,AUBE,2,54357,44976,44171,805.0,0,PSU,Extreme gauche,,,62882.0,48131.0,14751.0,,,,,,,,,,,,,,,,,,,,,,False
